model,scenario,region,variable,unit,year,subannual,value
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,1,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,10,2.751664254866428e-10
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,11,1.3765959388088967e-10
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,12,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,2,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,3,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,4,1.5360359690482154e-09
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,5,2.243977706062068e-09
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,6,2.694836167983066e-10
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,7,6.29658559334666e-11
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,8,1.7494728754842467e-10
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,9,2.608615342699709e-10
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,year,4.961097989027984e-09
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,1,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,10,6.6831740466433e-07
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,11,3.6035173201415906e-07
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,12,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,2,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,3,0.0
