model,scenario,region,variable,unit,year,subannual,value
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,1,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,10,2.751664254866428e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,11,1.3765959388088967e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,12,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,2,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,3,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,4,1.5360359690482154e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,5,2.243977706062068e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,6,2.694836167983066e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,7,6.29658559334666e-11
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,8,1.7494728754842467e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,9,2.608615342699709e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,year,4.961097989027984e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,1,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,10,2.8538294979048716e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,11,1.3733586760003967e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,12,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,2,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,3,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,4,1.0767207297884677e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,5,2.6361512380500507e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,6,3.150175755074324e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,7,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,8,1.71243786466472e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,9,2.5722594327796494e-10
