model,scenario,region,variable,unit,year,subannual,value
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,1,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,10,7.601852294258595e-10
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,11,4.294200203426287e-10
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,12,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,2,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,3,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,4,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,5,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,6,2.245957902721684e-12
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,7,6.346807078138611e-11
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,8,4.240601296199701e-10
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,9,7.14802797077029e-10
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,year,2.3941822051495955e-09
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,1,0.0
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,10,1.455501117796139e-07
MESSAGEix_ZM,MLED_improved_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,11,4.9653443501407784e-08
